Combined_Name,Common_Name,Scientific_Name
Great Horned Owl_Bubo virginianus,Great Horned Owl,Bubo virginianus
Least Sandpiper_Calidris minutilla,Least Sandpiper,Calidris minutilla
Canada Jay_Perisoreus canadensis,Canada Jay,Perisoreus canadensis
Black-and-white Warbler_Mniotilta varia,Black-and-white Warbler,Mniotilta varia
White-crowned Sparrow_Zonotrichia leucophrys,White-crowned Sparrow,Zonotrichia leucophrys
Tennessee Warbler_Leiothlypis peregrina,Tennessee Warbler,Leiothlypis peregrina
Black-bellied Plover_Pluvialis squatarola,Black-bellied Plover,Pluvialis squatarola
Wilson's Snipe_Gallinago delicata,Wilson's Snipe,Gallinago delicata
Black-throated Green Warbler_Setophaga virens,Black-throated Green Warbler,Setophaga virens
Scarlet Tanager_Piranga olivacea,Scarlet Tanager,Piranga olivacea
Ovenbird_Seiurus aurocapilla,Ovenbird,Seiurus aurocapilla
Nashville Warbler_Leiothlypis ruficapilla,Nashville Warbler,Leiothlypis ruficapilla
American Woodcock_Scolopax minor,American Woodcock,Scolopax minor
American Bittern_Botaurus lentiginosus,American Bittern,Botaurus lentiginosus
Green Heron_Butorides virescens,Green Heron,Butorides virescens
Carolina Wren_Thryothorus ludovicianus,Carolina Wren,Thryothorus ludovicianus
Blackpoll Warbler_Setophaga striata,Blackpoll Warbler,Setophaga striata
Canada Warbler_Cardellina canadensis,Canada Warbler,Cardellina canadensis
Northern Shoveler_Spatula clypeata,Northern Shoveler,Spatula clypeata
Snow Goose_Anser caerulescens,Snow Goose,Anser caerulescens
Wood Thrush_Hylocichla mustelina,Wood Thrush,Hylocichla mustelina
Savannah Sparrow_Passerculus sandwichensis,Savannah Sparrow,Passerculus sandwichensis
Warbling Vireo_Vireo gilvus,Warbling Vireo,Vireo gilvus
Barn Swallow_Hirundo rustica,Barn Swallow,Hirundo rustica
Yellow-bellied Flycatcher_Empidonax flaviventris,Yellow-bellied Flycatcher,Empidonax flaviventris
Broad-winged Hawk_Buteo platypterus,Broad-winged Hawk,Buteo platypterus
Merlin_Falco columbarius,Merlin,Falco columbarius
Blackburnian Warbler_Setophaga fusca,Blackburnian Warbler,Setophaga fusca
Veery_Catharus fuscescens,Veery,Catharus fuscescens
Semipalmated Plover_Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus
Semipalmated Sandpiper_Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla
Bay-breasted Warbler_Setophaga castanea,Bay-breasted Warbler,Setophaga castanea
Hooded Merganser_Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus
Lesser Yellowlegs_Tringa flavipes,Lesser Yellowlegs,Tringa flavipes
Bobolink_Dolichonyx oryzivorus,Bobolink,Dolichonyx oryzivorus
Marsh Wren_Cistothorus palustris,Marsh Wren,Cistothorus palustris
Brown Thrasher_Toxostoma rufum,Brown Thrasher,Toxostoma rufum
Greater Yellowlegs_Tringa melanoleuca,Greater Yellowlegs,Tringa melanoleuca
Ruby-throated Hummingbird_Archilochus colubris,Ruby-throated Hummingbird,Archilochus colubris
Eastern Wood-Pewee_Contopus virens,Eastern Wood-Pewee,Contopus virens
Cape May Warbler_Setophaga tigrina,Cape May Warbler,Setophaga tigrina
Eastern Meadowlark_Sturnella magna,Eastern Meadowlark,Sturnella magna
Yellow Warbler_Setophaga petechia,Yellow Warbler,Setophaga petechia
Chestnut-sided Warbler_Setophaga pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica
Eastern Kingbird_Tyrannus tyrannus,Eastern Kingbird,Tyrannus tyrannus
House Finch_Haemorhous mexicanus,House Finch,Haemorhous mexicanus
Caspian Tern_Hydroprogne caspia,Caspian Tern,Hydroprogne caspia
Great Crested Flycatcher_Myiarchus crinitus,Great Crested Flycatcher,Myiarchus crinitus
Northern Pintail_Anas acuta,Northern Pintail,Anas acuta
Common Tern_Sterna hirundo,Common Tern,Sterna hirundo
Spotted Sandpiper_Actitis macularius,Spotted Sandpiper,Actitis macularius
Yellow-throated Vireo_Vireo flavifrons,Yellow-throated Vireo,Vireo flavifrons
Olive-sided Flycatcher_Contopus cooperi,Olive-sided Flycatcher,Contopus cooperi
Pine Siskin_Spinus pinus,Pine Siskin,Spinus pinus
Black-billed Cuckoo_Coccyzus erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus
Willow Flycatcher_Empidonax traillii,Willow Flycatcher,Empidonax traillii
Baltimore Oriole_Icterus galbula,Baltimore Oriole,Icterus galbula
Northern Waterthrush_Parkesia noveboracensis,Northern Waterthrush,Parkesia noveboracensis
Winter Wren_Troglodytes hiemalis,Winter Wren,Troglodytes hiemalis
Gadwall_Mareca strepera,Gadwall,Mareca strepera
Peregrine Falcon_Falco peregrinus,Peregrine Falcon,Falco peregrinus
Golden-winged Warbler_Vermivora chrysoptera,Golden-winged Warbler,Vermivora chrysoptera
Field Sparrow_Spizella pusilla,Field Sparrow,Spizella pusilla
Alder Flycatcher_Empidonax alnorum,Alder Flycatcher,Empidonax alnorum
Red-breasted Merganser_Mergus serrator,Red-breasted Merganser,Mergus serrator
Bonaparte's Gull_Chroicocephalus philadelphia,Bonaparte's Gull,Chroicocephalus philadelphia
Evening Grosbeak_Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes vespertinus
Black Tern_Chlidonias niger,Black Tern,Chlidonias niger
Chimney Swift_Chaetura pelagica,Chimney Swift,Chaetura pelagica
Purple Martin_Progne subis,Purple Martin,Progne subis
American Coot_Fulica americana,American Coot,Fulica americana
Cliff Swallow_Petrochelidon pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota
Mourning Warbler_Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia
Red Crossbill_Loxia curvirostra,Red Crossbill,Loxia curvirostra
Common Goldeneye_Bucephala clangula,Common Goldeneye,Bucephala clangula
Red-necked Grebe_Podiceps grisegena,Red-necked Grebe,Podiceps grisegena
