Combined_Name,Common_Name,Scientific_Name
Green-winged Teal_Anas crecca,Green-winged Teal,Anas crecca
Killdeer_Charadrius vociferus,Killdeer,Charadrius vociferus
Pectoral Sandpiper_Calidris melanotos,Pectoral Sandpiper,Calidris melanotos
Palm Warbler_Setophaga palmarum,Palm Warbler,Setophaga palmarum
Hermit Thrush_Catharus guttatus,Hermit Thrush,Catharus guttatus
House Sparrow_Passer domesticus,House Sparrow,Passer domesticus
Great Horned Owl_Bubo virginianus,Great Horned Owl,Bubo virginianus
Least Sandpiper_Calidris minutilla,Least Sandpiper,Calidris minutilla
Canada Jay_Perisoreus canadensis,Canada Jay,Perisoreus canadensis
Black-and-white Warbler_Mniotilta varia,Black-and-white Warbler,Mniotilta varia
White-crowned Sparrow_Zonotrichia leucophrys,White-crowned Sparrow,Zonotrichia leucophrys
Tennessee Warbler_Leiothlypis peregrina,Tennessee Warbler,Leiothlypis peregrina
Black-bellied Plover_Pluvialis squatarola,Black-bellied Plover,Pluvialis squatarola
Wilson's Snipe_Gallinago delicata,Wilson's Snipe,Gallinago delicata
Black-throated Green Warbler_Setophaga virens,Black-throated Green Warbler,Setophaga virens
Scarlet Tanager_Piranga olivacea,Scarlet Tanager,Piranga olivacea
Ovenbird_Seiurus aurocapilla,Ovenbird,Seiurus aurocapilla
Orange-crowned Warbler_Leiothlypis celata,Orange-crowned Warbler,Leiothlypis celata
Nashville Warbler_Leiothlypis ruficapilla,Nashville Warbler,Leiothlypis ruficapilla
American Woodcock_Scolopax minor,American Woodcock,Scolopax minor
American Bittern_Botaurus lentiginosus,American Bittern,Botaurus lentiginosus
Green Heron_Butorides virescens,Green Heron,Butorides virescens
Carolina Wren_Thryothorus ludovicianus,Carolina Wren,Thryothorus ludovicianus
Blackpoll Warbler_Setophaga striata,Blackpoll Warbler,Setophaga striata
Canada Warbler_Cardellina canadensis,Canada Warbler,Cardellina canadensis
Northern Shoveler_Spatula clypeata,Northern Shoveler,Spatula clypeata
Snow Goose_Anser caerulescens,Snow Goose,Anser caerulescens
Wood Thrush_Hylocichla mustelina,Wood Thrush,Hylocichla mustelina
Savannah Sparrow_Passerculus sandwichensis,Savannah Sparrow,Passerculus sandwichensis
Warbling Vireo_Vireo gilvus,Warbling Vireo,Vireo gilvus
Common Nighthawk_Chordeiles minor,Common Nighthawk,Chordeiles minor
Barn Swallow_Hirundo rustica,Barn Swallow,Hirundo rustica
Yellow-bellied Flycatcher_Empidonax flaviventris,Yellow-bellied Flycatcher,Empidonax flaviventris
Broad-winged Hawk_Buteo platypterus,Broad-winged Hawk,Buteo platypterus
Merlin_Falco columbarius,Merlin,Falco columbarius
Blackburnian Warbler_Setophaga fusca,Blackburnian Warbler,Setophaga fusca
Veery_Catharus fuscescens,Veery,Catharus fuscescens
Semipalmated Plover_Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus
White-rumped Sandpiper_Calidris fuscicollis,White-rumped Sandpiper,Calidris fuscicollis
Semipalmated Sandpiper_Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla
Bay-breasted Warbler_Setophaga castanea,Bay-breasted Warbler,Setophaga castanea
Northern Rough-winged Swallow_Stelgidopteryx serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis
Hooded Merganser_Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus
Sandhill Crane_Antigone canadensis,Sandhill Crane,Antigone canadensis
Black-crowned Night Heron_Nycticorax nycticorax,Black-crowned Night Heron,Nycticorax nycticorax
Lesser Yellowlegs_Tringa flavipes,Lesser Yellowlegs,Tringa flavipes
Baird's Sandpiper_Calidris bairdii,Baird's Sandpiper,Calidris bairdii
Bobolink_Dolichonyx oryzivorus,Bobolink,Dolichonyx oryzivorus
Sora_Porzana carolina,Sora,Porzana carolina
Marsh Wren_Cistothorus palustris,Marsh Wren,Cistothorus palustris
Philadelphia Vireo_Vireo philadelphicus,Philadelphia Vireo,Vireo philadelphicus
Brown Thrasher_Toxostoma rufum,Brown Thrasher,Toxostoma rufum
Greater Yellowlegs_Tringa melanoleuca,Greater Yellowlegs,Tringa melanoleuca
Ruby-throated Hummingbird_Archilochus colubris,Ruby-throated Hummingbird,Archilochus colubris
Eastern Wood-Pewee_Contopus virens,Eastern Wood-Pewee,Contopus virens
Cape May Warbler_Setophaga tigrina,Cape May Warbler,Setophaga tigrina
Eastern Meadowlark_Sturnella magna,Eastern Meadowlark,Sturnella magna
Yellow Warbler_Setophaga petechia,Yellow Warbler,Setophaga petechia
Chestnut-sided Warbler_Setophaga pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica
Eastern Kingbird_Tyrannus tyrannus,Eastern Kingbird,Tyrannus tyrannus
American Golden-Plover_Pluvialis dominica,American Golden-Plover,Pluvialis dominica
House Finch_Haemorhous mexicanus,House Finch,Haemorhous mexicanus
Caspian Tern_Hydroprogne caspia,Caspian Tern,Hydroprogne caspia
Wilson's Warbler_Cardellina pusilla,Wilson's Warbler,Cardellina pusilla
Great Crested Flycatcher_Myiarchus crinitus,Great Crested Flycatcher,Myiarchus crinitus
Northern Pintail_Anas acuta,Northern Pintail,Anas acuta
Common Tern_Sterna hirundo,Common Tern,Sterna hirundo
Spotted Sandpiper_Actitis macularius,Spotted Sandpiper,Actitis macularius
Yellow-throated Vireo_Vireo flavifrons,Yellow-throated Vireo,Vireo flavifrons
Yellow-billed Cuckoo_Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus
Olive-sided Flycatcher_Contopus cooperi,Olive-sided Flycatcher,Contopus cooperi
Pine Siskin_Spinus pinus,Pine Siskin,Spinus pinus
Black-backed Woodpecker_Picoides arcticus,Black-backed Woodpecker,Picoides arcticus
Black-billed Cuckoo_Coccyzus erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus
Willow Flycatcher_Empidonax traillii,Willow Flycatcher,Empidonax traillii
Baltimore Oriole_Icterus galbula,Baltimore Oriole,Icterus galbula
Northern Waterthrush_Parkesia noveboracensis,Northern Waterthrush,Parkesia noveboracensis
Least Bittern_Botaurus exilis,Least Bittern,Botaurus exilis
Winter Wren_Troglodytes hiemalis,Winter Wren,Troglodytes hiemalis
Gadwall_Mareca strepera,Gadwall,Mareca strepera
Peregrine Falcon_Falco peregrinus,Peregrine Falcon,Falco peregrinus
Golden-winged Warbler_Vermivora chrysoptera,Golden-winged Warbler,Vermivora chrysoptera
Field Sparrow_Spizella pusilla,Field Sparrow,Spizella pusilla
Alder Flycatcher_Empidonax alnorum,Alder Flycatcher,Empidonax alnorum
Short-billed Dowitcher_Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus
Red-necked Phalarope_Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus
Stilt Sandpiper_Calidris himantopus,Stilt Sandpiper,Calidris himantopus
Lesser Black-backed Gull_Larus fuscus,Lesser Black-backed Gull,Larus fuscus
Red-breasted Merganser_Mergus serrator,Red-breasted Merganser,Mergus serrator
Bonaparte's Gull_Chroicocephalus philadelphia,Bonaparte's Gull,Chroicocephalus philadelphia
Evening Grosbeak_Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes vespertinus
Black Tern_Chlidonias niger,Black Tern,Chlidonias niger
Chimney Swift_Chaetura pelagica,Chimney Swift,Chaetura pelagica
Purple Martin_Progne subis,Purple Martin,Progne subis
Eastern Screech-Owl_Megascops asio,Eastern Screech-Owl,Megascops asio
Bank Swallow_Riparia riparia,Bank Swallow,Riparia riparia
Roseate Spoonbill_Platalea ajaja,Roseate Spoonbill,Platalea ajaja
American Coot_Fulica americana,American Coot,Fulica americana
Blue-winged Warbler_Vermivora cyanoptera,Blue-winged Warbler,Vermivora cyanoptera
Blue-gray Gnatcatcher_Polioptila caerulea,Blue-gray Gnatcatcher,Polioptila caerulea
Sedge Wren_Cistothorus stellaris,Sedge Wren,Cistothorus stellaris
Cliff Swallow_Petrochelidon pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota
Mourning Warbler_Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia
Red Crossbill_Loxia curvirostra,Red Crossbill,Loxia curvirostra
Grasshopper Sparrow_Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum
Common Goldeneye_Bucephala clangula,Common Goldeneye,Bucephala clangula
Fish Crow_Corvus ossifragus,Fish Crow,Corvus ossifragus
Vesper Sparrow_Pooecetes gramineus,Vesper Sparrow,Pooecetes gramineus
Cerulean Warbler_Setophaga cerulea,Cerulean Warbler,Setophaga cerulea
Louisiana Waterthrush_Parkesia motacilla,Louisiana Waterthrush,Parkesia motacilla
Eastern Whip-poor-will_Antrostomus vociferus,Eastern Whip-poor-will,Antrostomus vociferus
Brown Pelican_Pelecanus occidentalis,Brown Pelican,Pelecanus occidentalis
Northern Saw-whet Owl_Aegolius acadicus,Northern Saw-whet Owl,Aegolius acadicus
White-winged Crossbill_Loxia leucoptera,White-winged Crossbill,Loxia leucoptera
Yellow-crowned Night Heron_Nyctanassa violacea,Yellow-crowned Night Heron,Nyctanassa violacea
Dunlin_Calidris alpina,Dunlin,Calidris alpina
Whimbrel_Numenius phaeopus,Whimbrel,Numenius phaeopus
Orchard Oriole_Icterus spurius,Orchard Oriole,Icterus spurius
Brant_Branta bernicla,Brant,Branta bernicla
Gray-cheeked Thrush_Catharus minimus,Gray-cheeked Thrush,Catharus minimus
Northern Mockingbird_Mimus polyglottos,Northern Mockingbird,Mimus polyglottos
Clay-colored Sparrow_Spizella pallida,Clay-colored Sparrow,Spizella pallida
Long-tailed Duck_Clangula hyemalis,Long-tailed Duck,Clangula hyemalis
Lapland Longspur_Calcarius lapponicus,Lapland Longspur,Calcarius lapponicus
Snow Bunting_Plectrophenax nivalis,Snow Bunting,Plectrophenax nivalis
Eurasian Wigeon_Mareca penelope,Eurasian Wigeon,Mareca penelope
Red-necked Grebe_Podiceps grisegena,Red-necked Grebe,Podiceps grisegena
Canvasback_Aythya valisineria,Canvasback,Aythya valisineria
Ruddy Duck_Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis
American Tree Sparrow_Spizelloides arborea,American Tree Sparrow,Spizelloides arborea
Bohemian Waxwing_Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus
Fox Sparrow_Passerella iliaca,Fox Sparrow,Passerella iliaca
Rough-legged Hawk_Buteo lagopus,Rough-legged Hawk,Buteo lagopus
Barrow's Goldeneye_Bucephala islandica,Barrow's Goldeneye,Bucephala islandica
Golden Eagle_Aquila chrysaetos,Golden Eagle,Aquila chrysaetos
Northern Shrike_Lanius borealis,Northern Shrike,Lanius borealis
Short-eared Owl_Asio flammeus,Short-eared Owl,Asio flammeus
Tundra Swan_Cygnus columbianus,Tundra Swan,Cygnus columbianus
Snowy Owl_Bubo scandiacus,Snowy Owl,Bubo scandiacus
Redpoll_Acanthis flammea,Redpoll,Acanthis flammea
Iceland Gull_Larus glaucoides,Iceland Gull,Larus glaucoides
White-winged Scoter_Melanitta deglandi,White-winged Scoter,Melanitta deglandi
Pine Grosbeak_Pinicola enucleator,Pine Grosbeak,Pinicola enucleator
Red-throated Loon_Gavia stellata,Red-throated Loon,Gavia stellata
Hudsonian Godwit_Limosa haemastica,Hudsonian Godwit,Limosa haemastica
Western Cattle-Egret_Ardea ibis,Western Cattle-Egret,Ardea ibis
Sanderling_Calidris alba,Sanderling,Calidris alba
Surf Scoter_Melanitta perspicillata,Surf Scoter,Melanitta perspicillata
Black Scoter_Melanitta americana,Black Scoter,Melanitta americana
Ruddy Turnstone_Arenaria interpres,Ruddy Turnstone,Arenaria interpres
Boreal Chickadee_Poecile hudsonicus,Boreal Chickadee,Poecile hudsonicus
Upland Sandpiper_Bartramia longicauda,Upland Sandpiper,Bartramia longicauda
Glaucous Gull_Larus hyperboreus,Glaucous Gull,Larus hyperboreus
American Goshawk_Astur atricapillus,American Goshawk,Astur atricapillus
Black-throated Gray Warbler_Setophaga nigrescens,Black-throated Gray Warbler,Setophaga nigrescens
Yellow Rail_Coturnicops noveboracensis,Yellow Rail,Coturnicops noveboracensis
Red-headed Woodpecker_Melanerpes erythrocephalus,Red-headed Woodpecker,Melanerpes erythrocephalus
Parasitic Jaeger_Stercorarius parasiticus,Parasitic Jaeger,Stercorarius parasiticus
Prairie Warbler_Setophaga discolor,Prairie Warbler,Setophaga discolor
Hooded Warbler_Setophaga citrina,Hooded Warbler,Setophaga citrina
Wilson's Phalarope_Phalaropus tricolor,Wilson's Phalarope,Phalaropus tricolor
Black Vulture_Coragyps atratus,Black Vulture,Coragyps atratus
Little Blue Heron_Egretta caerulea,Little Blue Heron,Egretta caerulea
Harlequin Duck_Histrionicus histrionicus,Harlequin Duck,Histrionicus histrionicus
Ross's Goose_Anser rossii,Ross's Goose,Anser rossii
Eared Grebe_Podiceps nigricollis,Eared Grebe,Podiceps nigricollis
Greater White-fronted Goose_Anser albifrons,Greater White-fronted Goose,Anser albifrons
Forster's Tern_Sterna forsteri,Forster's Tern,Sterna forsteri
Great Cormorant_Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo
Connecticut Warbler_Oporornis agilis,Connecticut Warbler,Oporornis agilis
American White Pelican_Pelecanus erythrorhynchos,American White Pelican,Pelecanus erythrorhynchos
Yellow-breasted Chat_Icteria virens,Yellow-breasted Chat,Icteria virens
Blue Grosbeak_Passerina caerulea,Blue Grosbeak,Passerina caerulea
Painted Bunting_Passerina ciris,Painted Bunting,Passerina ciris
Pacific Loon_Gavia pacifica,Pacific Loon,Gavia pacifica
Red Phalarope_Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius
Western Sandpiper_Calidris mauri,Western Sandpiper,Calidris mauri
Northern Wheatear_Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe
Buff-breasted Sandpiper_Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis
Acadian Flycatcher_Empidonax virescens,Acadian Flycatcher,Empidonax virescens
Marbled Godwit_Limosa fedoa,Marbled Godwit,Limosa fedoa
Willet_Tringa semipalmata,Willet,Tringa semipalmata
Dickcissel_Spiza americana,Dickcissel,Spiza americana
Varied Thrush_Ixoreus naevius,Varied Thrush,Ixoreus naevius
Bronzed Cowbird_Molothrus aeneus,Bronzed Cowbird,Molothrus aeneus
Rufous Hummingbird_Selasphorus rufus,Rufous Hummingbird,Selasphorus rufus
Western Grebe_Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis
Smew_Mergellus albellus,Smew,Mergellus albellus
Long-billed Dowitcher_Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus
Little Gull_Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus
Boreal Owl_Aegolius funereus,Boreal Owl,Aegolius funereus
White-eyed Vireo_Vireo griseus,White-eyed Vireo,Vireo griseus
LeConte's Sparrow_Ammospiza leconteii,LeConte's Sparrow,Ammospiza leconteii
Atlantic Puffin_Fratercula arctica,Atlantic Puffin,Fratercula arctica
American Three-toed Woodpecker_Picoides dorsalis,American Three-toed Woodpecker,Picoides dorsalis
Long-billed Murrelet_Brachyramphus perdix,Long-billed Murrelet,Brachyramphus perdix
Nelson's Sparrow_Ammospiza nelsoni,Nelson's Sparrow,Ammospiza nelsoni
Common Gull_Larus canus,Common Gull,Larus canus
Gray Partridge_Perdix perdix,Gray Partridge,Perdix perdix
Northern Gannet_Morus bassanus,Northern Gannet,Morus bassanus
Black-legged Kittiwake_Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull_Xema sabini,Sabine's Gull,Xema sabini
Franklin's Gull_Leucophaeus pipixcan,Franklin's Gull,Leucophaeus pipixcan
Short-billed Gull_Larus brachyrhynchus,Short-billed Gull,Larus brachyrhynchus
Ivory Gull_Pagophila eburnea,Ivory Gull,Pagophila eburnea
Gyrfalcon_Falco rusticolus,Gyrfalcon,Falco rusticolus
Long-eared Owl_Asio otus,Long-eared Owl,Asio otus
Spruce Grouse_Canachites canadensis,Spruce Grouse,Canachites canadensis
Great Gray Owl_Strix nebulosa,Great Gray Owl,Strix nebulosa
Northern Hawk Owl_Surnia ulula,Northern Hawk Owl,Surnia ulula
